articleID,articleWordCount,byline,documentType,headline,keywords,multimedia,newDesk,printPage,pubDate,sectionName,snippet,source,typeOfMaterial,webURL
5ad3a5e5068401528a2a8cfb,656,By PETER BAKER,article,"Barbara Bush, Gravely Ill,  Opts to Halt Treatment","['Bush, Barbara', 'Chronic Obstructive Pulmonary Disease', 'Heart']",66,Washington,15,2018-04-15 19:20:03,Politics,"Mrs. Bush, 92, the popular wife and mother of presidents, “will instead focus on comfort care,” according to a statement.",The New York Times,News,https://www.nytimes.com/2018/04/15/us/politics/barbara-bush-ill.html
5ad39c1b068401528a2a8cf1,1516,By PETER BAKER,article,Trump to Punish  Russia for Aiding  Attack by Syria,"['Trump, Donald J', 'Russia', 'Embargoes and Sanctions', 'United States International Relations', 'Haley, Nikki R', 'Syria', 'United States Politics and Government']",68,Washington,1,2018-04-15 18:38:16,Politics,"Nikki Haley, the ambassador to the United Nations, said Russian companies that have supported Syria’s chemical weapons would be targeted on Monday.",The New York Times,News,https://www.nytimes.com/2018/04/15/us/politics/trump-russia-sanctions-syria.html
5ad365e8068401528a2a8c96,550,By CHRISTINA CARON,article,"Trump Blasts Comey in Barrage of Tweets, Calling Him ‘Slippery’","['United States Politics and Government', 'Trump, Donald J', 'Comey, James B', 'Russian Interference in 2016 US Elections and Ties to Trump Associates', 'Federal Bureau of Investigation', 'A Higher Loyalty: Truth, Lies, and Leadership (Book)']",68,Politics,0,2018-04-15 14:47:02,Politics,President Trump on Sunday delivered a series of scathing tweets ahead of the former F.B.I. director James Comey’s appearance on ABC News.,The New York Times,News,https://www.nytimes.com/2018/04/15/us/politics/trump-comey-tweets.html
5ad31499068401528a2a8c37,404,By C. J. HUGHES,article,"Homes That Sold for Around $600,000","['New Jersey', 'Ridgefield (Conn)', 'Yorktown Heights (NY)', 'Spuyten Duyvil (Bronx, NY)', 'Dix Hills (NY)', 'Gramercy Park (Manhattan, NY)']",64,RealEstate,6,2018-04-15 09:00:07,Unknown,Recent residential sales in New York City and the region.,The New York Times,News,https://www.nytimes.com/2018/04/15/realestate/homes-that-sold-for-around-600000.html
5ad2ce48068401528a2a8bf9,376,By AISHA MIRZA,article,A YouTuber Brings Tarot to the People,['Astrology'],68,Styles,0,2018-04-15 04:00:01,Unknown,"Amber Khan read tarot for decades but really found an audience when she started a YouTube channel, the Quietest Revolution.",The New York Times,News,https://www.nytimes.com/2018/04/15/style/amber-khan-youtube-tarot.html
5ad279e4068401528a2a8bbc,1352,By CAITLIN LOVINGER,article,Preposition Proposition,['Crossword Puzzles'],68,Games,0,2018-04-14 22:00:01,Unknown,"I hope Alex Bajcz got this puzzle framed and hung on his wall, because it’s a bang-up job.",The New York Times,News,https://www.nytimes.com/2018/04/14/crosswords/daily-puzzle-2018-04-15.html
5ad2b324068401528a2a8bea,1109,By KATHLEEN O'BRIEN,article,I Can’t Jump Ship From Facebook Yet,"['Social Media', 'Parenting', 'Autism', 'Facebook Inc']",68,OpEd,5,2018-04-14 18:31:01,Sunday Review,The social network has helped many parents of kids with special needs feel less alone.,The New York Times,Op-Ed,https://www.nytimes.com/2018/04/14/opinion/sunday/delete-facebook-parenting-special-needs.html
5ad248b8068401528a2a8b85,1154,By SUSAN CHIRA,article,Mom Is Running for Office,"['Midterm Elections (2018)', 'Women and Girls', 'Breastfeeding', 'Elections, House of Representatives', 'Politics and Government', 'House of Representatives']",66,OpEd,3,2018-04-14 18:30:15,Unknown,A new generation of female politicians campaign on the raw realities — and credentials — of motherhood.,The New York Times,News Analysis,https://www.nytimes.com/2018/04/14/sunday-review/mom-is-running-for-office.html
5ad248b3068401528a2a8b84,2165,By PHIL KLAY,article,The Warrior  At The Mall,"['United States Defense and Military Forces', 'Veterans', 'United States Politics and Government']",66,OpEd,1,2018-04-14 18:30:08,Sunday Review,Soldiers aren’t sacred. And civilians are not the enemy.,The New York Times,Op-Ed,https://www.nytimes.com/2018/04/14/opinion/sunday/the-warrior-at-the-mall.html
5ad248af068401528a2a8b82,914,By PATRICIA HAMPL,article,Scrap Your To-Do List,['Baby Boomers'],68,OpEd,11,2018-04-14 18:30:04,Sunday Review,This isn’t sloth. It isn’t exhaustion. It’s finally being aware of existing for its own purpose.,The New York Times,Op-Ed,https://www.nytimes.com/2018/04/14/opinion/sunday/baby-boomers-to-do-list.html
5ad248af068401528a2a8b81,833,By ROSS DOUTHAT,article,"Paul Ryan, Party Man","['Ryan, Paul D Jr', 'Republican Party', 'United States Politics and Government', 'House of Representatives']",68,OpEd,11,2018-04-14 18:30:04,Sunday Review,"Neither a visionary nor a fanatic, the speaker simply followed his party too faithfully for too long.",The New York Times,Op-Ed,https://www.nytimes.com/2018/04/14/opinion/sunday/paul-ryan-republican-party.html
5ad248af068401528a2a8b80,1258,By THE EDITORIAL BOARD,article,A ‘Black Tax’ on Housing,"['Real Estate and Housing (Residential)', 'Discrimination', 'Blacks', 'Mortgages', 'Federal Housing Administration', 'Fair Housing Act (1968)']",66,Editorial,10,2018-04-14 18:30:04,Unknown,Predatory lending and discriminatory federal housing policy have denied African Americans the chance to reap the rewards of homeownership.,The New York Times,Editorial,https://www.nytimes.com/2018/04/14/opinion/blacks-still-face-a-red-line-on-housing.html
5ad248af068401528a2a8b7f,1143,By VIET THANH NGUYEN,article,Don’t Call Me a Genius,"['Writing and Writers', 'Vietnamese-Americans', 'Scholarships and Fellowships', 'MacArthur, John D and Catherine T, Foundation', 'Kingston, Maxine Hong', 'Vietnam']",67,OpEd,8,2018-04-14 18:30:04,Sunday Review,It takes much more than a MacArthur Fellowship to justify the label.,The New York Times,Op-Ed,https://www.nytimes.com/2018/04/14/opinion/sunday/dont-call-me-a-genius.html
5ad248ae068401528a2a8b7e,1061,By MAUREEN DOWD,article,We Need an Exorcist!,"['Friedkin, William', 'Occult Sciences', 'Georgetown (Washington, DC)', 'Roman Catholic Church', 'Movies', 'Documentary Films and Programs', 'The Exorcist (Movie)', 'The Devil and Father Amorth (Movie)']",68,OpEd,11,2018-04-14 18:30:01,Sunday Review,William Friedkin revisits his old haunts for his new documentary about exorcism.,The New York Times,Op-Ed,https://www.nytimes.com/2018/04/14/opinion/sunday/william-friedkin-exorcist-movie.html
5ad247bd068401528a2a8b7a,1856,By MARY WILLIAMS WALSH,article,Strange Pension Math Leaves States in Pinch of Own Making,"['Pensions and Retirement Plans', 'Government Employees', 'Oregon', 'Oregon Public Employees Retirement System', 'States (US)', 'Local Government', 'Budgets and Budgeting', 'University of Oregon', 'Josephine County (Ore)', 'Three Rivers (Ore)']",68,Business,1,2018-04-14 18:25:49,Unknown,"Governments are struggling as mounting pension obligations crowd out the rest of their budgets. Oregon faces a severe, self-inflicted crisis.",The New York Times,News,https://www.nytimes.com/2018/04/14/business/pension-finance-oregon.html
5ad24407068401528a2a8b78,2348,By MATTHEW GOLDSTEIN and JESSICA SILVER-GREENBERG,article,How Profiteers  Coax Women  Into Surgery,"['Suits and Litigation (Civil)', 'Liability for Products', 'Legal Profession', 'Implants', 'Medical Devices', 'Surgery and Surgeons', 'Boston Scientific Corporation', 'Johnson & Johnson', 'Barber, Wesley Blake', 'LawCash', 'Surgical Assistance Inc', 'Vagina']",68,Business,1,2018-04-14 18:10:13,Unknown,"An alliance of law firms, marketers, finance companies and doctors makes money by coaxing women to have their mesh implants removed.",The New York Times,News,https://www.nytimes.com/2018/04/14/business/vaginal-mesh-surgery-lawsuits-financing.html
5ad22583068401528a2a8b45,336,By CAITLIN LOVINGER,article,Variety: Acrostic,"['Crossword Puzzles', 'Acrostic Puzzles', 'Whales and Whaling', 'Moby-Dick (Book)']",41,Games,0,2018-04-14 16:00:01,Unknown,Emily Cox and Henry Rathvon shimmer in the sunshine.,The New York Times,News,https://www.nytimes.com/2018/04/14/crosswords/variety-acrostic.html
5ad2238b068401528a2a8b40,1391,By PETER BAKER,article,‘Mission Accomplished!’ But What Is the Mission in Syria?,"['Biological and Chemical Warfare', 'United States Defense and Military Forces', 'United States International Relations', 'Islamic State in Iraq and Syria (ISIS)', 'Syria', 'Trump, Donald J', 'Assad, Bashar al-', 'Civilian Casualties', 'Douma (Syria)']",68,Washington,1,2018-04-14 15:51:36,Politics,"The strike on chemical arms sites reflected President Trump’s competing impulses: an effort to demonstrate strength countered by a view that involvement in the Middle East since the attacks of Sept. 11, 2001, has been a waste.",The New York Times,News Analysis,https://www.nytimes.com/2018/04/14/us/politics/trump-syria-policy.html
5ad20969068401528a2a8b14,395,By RONDA KAYSEN,article,What to Do When a Window Ledge Becomes a Nest for Pigeons,['Real Estate and Housing (Residential)'],51,RealEstate,2,2018-04-14 14:00:05,Unknown,What can be done to shoo away birds that roost on a reader’s window ledge?,The New York Times,News,https://www.nytimes.com/2018/04/14/realestate/how-to-keep-unwelcome-pigeons-at-bay.html
5ad1d827068401528a2a8ae0,1913,By HELENE COOPER and BEN HUBBARD,article,U.S. Says Strikes Took Out ‘Heart’  Of Assad Threat,"['Trump, Donald J', 'Syria', 'United States Defense and Military Forces', 'Biological and Chemical Warfare', 'Douma (Syria)', 'Damascus (Syria)', 'Putin, Vladimir V', 'Russia', 'Iran']",67,Foreign,1,2018-04-14 10:29:56,Middle East,"Warplanes and ships from the United States, Britain and France launched more than 100 missiles at three chemical weapons storage and research facilities near Damascus and Homs, officials said.",The New York Times,News,https://www.nytimes.com/2018/04/14/world/middleeast/syria-airstrikes-analysis.html
5ad1c31e068401528a2a8ab2,902,By DANNY HAKIM,article,Salute the Signature. It’s Signing Off.,"['Credit Cards', 'Counterfeit Money and Financial Instruments', 'Frauds and Swindling', 'Handwriting']",68,SundayBusiness,5,2018-04-14 09:00:08,Unknown,"As of this month, the big credit card companies are dropping the requirement for signatures, the beginning of the end for signing your name.",The New York Times,News,https://www.nytimes.com/2018/04/14/business/credit-card-signature.html
5ad160a3068401528a2a8a34,765,By CAITLIN LOVINGER,article,Expressions of Affection,['Crossword Puzzles'],68,Games,0,2018-04-14 02:00:01,Unknown,Sam Ezersky’s puzzle puts words in our mouths.,The New York Times,News,https://www.nytimes.com/2018/04/13/crosswords/daily-puzzle-2018-04-14.html
5ad15236068401528a2a8a23,811,By BRET STEPHENS,article,"The Republic, Republicans And Ryan","['Republican Party', 'Conservatism (US Politics)', 'Ryan, Paul D Jr', 'Trump, Donald J', 'United States Politics and Government', 'Dent, Charles W', 'Frelinghuysen, Rodney P', 'Kasparov, Garry', 'Lamb, Conor J (1984- )', 'Tax Cuts and Jobs Act (2017)']",68,OpEd,19,2018-04-14 00:58:26,Unknown,"The G.O.P. owed America an alternative vision to Trumpism, and failed to deliver.",The New York Times,Op-Ed,https://www.nytimes.com/2018/04/13/opinion/paul-ryan-trump-republicans.html
5ad14da5068401528a2a8a19,1815,"By HELENE COOPER, THOMAS GIBBONS-NEFF and BEN HUBBARD",article,Trump Launches Strikes on Syrian Targets,"['Syria', 'United States Defense and Military Forces', 'Biological and Chemical Warfare', 'Great Britain', 'France', 'Civilian Casualties', 'Defense and Military Forces', 'Douma (Syria)']",68,Washington,1,2018-04-14 00:38:59,Middle East,The strikes sought to punish the Syrian government after what Western officials said was a deadly chemical attack in a Damascus suburb that had been held by rebels.,The New York Times,News,https://www.nytimes.com/2018/04/13/world/middleeast/trump-strikes-syria-attack.html
5ad11cf0068401528a2a89c2,1233,By FRANK RIZZO,article,"Pull Yourself Together, Henry Higgins!","['Theater', 'My Fair Lady (Play)', 'Shubert Theater', 'Andrews, Julie', 'Harrison, Rex', 'Hart, Moss', 'Lerner, Alan Jay', 'Loewe, Frederick', 'Adler, Jerry (1929- )']",66,Arts&Leisure,9,2018-04-13 21:11:10,Unknown,"It’s now a classic, with a splashy revival about to open on Broadway. But in 1956, a nervous leading man and technical troubles meant the show almost didn’t go on.",The New York Times,News,https://www.nytimes.com/2018/04/13/theater/my-fair-lady-new-haven-rex-harrison-julie-andrews.html
5ad10ea0068401528a2a899a,1476,By JAMES ESTRIN,article,The Power of Pictures: Viewing History Through America's Library,"['Photography', 'Archives and Records', 'Art', 'Civil Rights Movement (1954-68)', 'Los Angeles (Calif)', 'Annenberg Space for Photography', 'Library of Congress']",68,Photo,0,2018-04-13 20:10:06,Unknown,An exhibit featuring more than 440 images from the Library of Congress’ photographic archives is featured at the Annenberg Space for Photography in Los Angeles.,The New York Times,News,https://www.nytimes.com/2018/04/13/lens/viewing-history-through-pictures-america-library-congress.html
5ad1083a068401528a2a898a,1066,By REBECCA R. RUIZ and JIM RUTENBERG,article,"A Pregnancy, a Payment and a G.O.P. Resignation","['Broidy, Elliott', 'Cohen, Michael D (1966- )', 'Republican National Committee', 'Adultery', 'Playboy Magazine', 'United States Politics and Government', 'American Media Inc', 'Clifford, Stephanie (1979- )', 'Trump, Donald J', 'McDougal, Karen (1971- )', 'Davidson, Keith M']",68,Investigative,1,2018-04-13 19:42:46,Politics,"The official, Elliott Broidy, quit amid news of a deal he struck with a woman who became pregnant during an affair. The payout was arranged by President Trump’s lawyer Michael D. Cohen.",The New York Times,News,https://www.nytimes.com/2018/04/13/us/politics/elliott-broidy-michael-cohen-payout.html
5ad0fff6068401528a2a896b,1115,By SHANE GOLDMACHER and JESSE McKINLEY,article,"A Step Ahead, Cuomo and Allies Spurn Party Before It Can Endorse Rival","['Endorsements', 'Elections, Governors', 'Organized Labor', 'Cuomo, Andrew M', 'Nixon, Cynthia', 'Figueroa, Hector J', 'Working Families Party', 'New York State']",68,Metro,15,2018-04-13 19:07:32,Unknown,"The Working Families Party may endorse Cynthia Nixon’s bid to unseat Gov. Andrew Cuomo, spurring the governor’s labor allies into action.",The New York Times,News,https://www.nytimes.com/2018/04/13/nyregion/cuomo-nixon-wfp-labor-governor-election.html
5acf80e9068401528a2a822a,1464,By ERIC ASIMOV,article,"On His Own, the Burgundy Iconoclast Laurent Ponsot Looks to Big Projects","['Wines', 'Burgundy (France)']",68,Dining,0,2018-04-12 15:53:11,"Wine, Beer & Cocktails","Having left the family estate, Mr. Ponsot hopes to build a futuristic, interactive center dedicated to Burgundy, as well as make a little wine.",The New York Times,News,https://www.nytimes.com/2018/04/12/dining/drinks/laurent-ponsot-burgundy-wine-domaine-ponsot.html
5acf7e76068401528a2a8208,1199,By GARDINER HARRIS and EILEEN SULLIVAN,article,"Trading Snarl for Smile, Pompeo Makes Case to Lead State Dept.","['United States Politics and Government', 'Pompeo, Mike', 'United States International Relations', 'Diplomatic Service, Embassies and Consulates', 'Senate Committee on Foreign Relations', 'State Department']",68,Washington,8,2018-04-12 15:42:53,Politics,"At Mike Pompeo’s confirmation hearing, he set a tone of forceful diplomacy, saying he would take a tough line against Russia and push to improve the Iran nuclear deal.",The New York Times,News,https://www.nytimes.com/2018/04/12/us/politics/mike-pompeo-secretary-state.html
5acf7a75068401528a2a81cf,788,By DANIEL E. SLOTNIK,article,"Mitzi Shore, 87, Comedy Club Owner Who Fostered Rising Stars in Her ‘University’","['Shore, Mitzi (1930-2018)', 'Comedy and Humor', 'Comedy Store (Los Angeles, Calif, Comedy Club)', 'Deaths (Obituaries)']",64,Obits,24,2018-04-12 15:25:38,Unknown,"Ms. Shore was a critic, confidante and caretaker for comics like Richard Pryor, Robin Williams, George Carlin, Sandra Bernhard and Jim Carrey.",The New York Times,Obituary (Obit),https://www.nytimes.com/2018/04/12/obituaries/mitzi-shore-whose-comedy-store-fostered-rising-stars-dies-at-87.html
5acf796b068401528a2a81b8,755,By LIGAYA MISHAN,article,"Rice Balls, Subtle and Showy Alike, at Omusubi Gonbei","['Rice', 'Midtown Area (Manhattan, NY)', 'Japanese Food (Cuisine)']",67,Dining,0,2018-04-12 15:21:13,Unknown,"The second American outpost of this Japanese export features larger-than-life onigiri, filled with ingredients traditional and bold.",The New York Times,Review,https://www.nytimes.com/2018/04/12/dining/omusubi-gonbei-review.html
5acf6f95068401528a2a813c,1289,By CORAL DAVENPORT,article,Washington Insider and Former Coal Lobbyist Becomes E.P.A. Deputy Chief,"['United States Politics and Government', 'Regulation and Deregulation of Industry', 'Environment', 'Environmental Protection Agency', 'Pruitt, Scott', 'Wheeler, Andrew R', 'Inhofe, James M', 'Trump, Donald J', 'Global Warming']",68,Climate,16,2018-04-12 14:39:15,Unknown,"The Senate on Thursday confirmed the Environmental Protection Agency’s second-in-command, Andrew Wheeler, a former coal lobbyist who shares the deregulatory zeal of Scott Pruitt, the agency chief.",The New York Times,News,https://www.nytimes.com/2018/04/12/climate/epa-pruitt-deputy-wheeler-confirmation.html
5acf6667068401528a2a80bc,1199,By DAVE ITZKOFF,article,Addressing His ‘Problem Areas’,"['Cenac, Wyatt', ""Wyatt Cenac's Problem Areas (TV Program)"", 'Television', 'Home Box Office', 'Police Brutality, Misconduct and Shootings']",68,Weekend,4,2018-04-12 14:00:05,Television,"Mr. Cenac, an alumnus of “The Daily Show,” discusses his new late-night series, which has a laid-back energy and a regular focus on police reform.",The New York Times,News,https://www.nytimes.com/2018/04/12/arts/television/wyatt-cenac-hbo-problem-areas.html
5acf60aa068401528a2a8082,2529,By JADA YUAN,article,Unknown,"['Travel and Vacations', 'New York Times']",68,NewsDesk,0,2018-04-12 13:35:36,Unknown,"Our 52 Places Traveler answers readers’ questions about the journey so far and traveling alone, as a woman.",The New York Times,News,https://www.nytimes.com/2018/04/12/reader-center/52-places-travel.html
5acf5f60068401528a2a8069,175,By MICHAEL KOLOMATSKY,article,If Your House Punched the Clock,"['Real Estate and Housing (Residential)', 'Prices (Fares, Fees and Rates)']",61,RealEstate,2,2018-04-12 13:30:05,Unknown,The hourly wages that properties in the country’s hottest markets would have “earned” last year if they punched the clock.,The New York Times,News,https://www.nytimes.com/2018/04/12/realestate/how-much-does-your-house-make-an-hour.html
5acf5ccc068401528a2a8059,1216,By NELLIE BOWLES,article,"Privacy Issue Rises to Fore, Vindicating Data Experts","['Computers and the Internet', 'Data-Mining and Database Marketing', 'Social Media', 'Privacy', 'Facebook Inc', 'Cambridge Analytica']",68,Business,1,2018-04-12 13:19:05,Unknown,"The scandal over how Facebook let a consulting firm gain access to user information is ushering in a new era for privacy experts, whose warnings about online privacy have long gone unheeded.",The New York Times,News,https://www.nytimes.com/2018/04/12/technology/privacy-researchers-facebook.html
5acf58bb068401528a2a8029,117,Reported by C. J. HUGHES,article,Unknown,"['Real Estate and Housing (Residential)', 'Brooklyn Heights (Brooklyn, NY)', 'Morningside Heights (Manhattan, NY)', 'West Village (Manhattan, NY)']",68,RealEstate,0,2018-04-12 13:01:45,Unknown,"This week’s properties are in Morningside Heights, the West Village and Brooklyn Heights.",The New York Times,News,https://www.nytimes.com/2018/04/12/realestate/homes-for-sale-in-the-west-village-morningside-heights-and-brooklyn-heights.html
5acf5854068401528a2a8020,1318,By SAM EZERSKY,article,The Crossword Zoo: 10 Animals You Should Know,"['Crossword Puzzles', 'Zoos']",68,Games,0,2018-04-12 13:00:00,Unknown,Brush up on your knowledge of creatures that can be frequently spotted in The New York Times Crossword.,The New York Times,News,https://www.nytimes.com/2018/04/12/crosswords/crosswords-zoo.html
5acf521f068401528a2a7fea,971,By ADAM NAGOURNEY and JOSE A. DEL REAL,article,Unknown,[],68,National,0,2018-04-12 12:33:32,Unknown,"Thursday: The state treasurer on how he would balance priorities if elected governor, Kevin McCarthy could run for House speaker, and L.A. moves forward with an LAX train.",The New York Times,briefing,https://www.nytimes.com/2018/04/12/us/california-today-john-chiang-governor-homeless.html
5acf4a43068401528a2a7f8a,968,By WESLEY MORRIS,article,A Performer Who’s Not Just Body and Snarl,"['Documentary Films and Programs', 'Music', 'Grace Jones: Bloodlight and Bami (Movie)', 'Jones, Grace', 'Fiennes, Sophie']",68,Weekend,7,2018-04-12 12:00:01,Unknown,Grace Jones has always been an iconoclast. But this documentary restores her humanity.,The New York Times,Review,https://www.nytimes.com/2018/04/12/movies/-grace-jones-bloodlight-and-bami-review.html
5acf4599068401528a2a7f5f,803,By BRET STEPHENS,article,Staring Down on Syria,"['Defense and Military Forces', 'United States International Relations', 'United States Defense and Military Forces', 'Hezbollah', 'Islamic State in Iraq and Syria (ISIS)', 'Trump, Donald J', 'Golan Heights', 'Syria']",68,OpEd,0,2018-04-12 11:40:07,Unknown,Trump’s Syria policy: an impulse wrapped in indifference inside an incoherence.,The New York Times,Op-Ed,https://www.nytimes.com/2018/04/12/opinion/trump-syria-policy.html
5acf3cf7068401528a2a7f00,1319,"By HELENE COOPER, THOMAS GIBBONS-NEFF and PETER BAKER",article,Pentagon Urges Greater Caution For Syria Strike,"['United States Defense and Military Forces', 'Trump, Donald J', 'Syria', 'United States International Relations', 'United States Politics and Government', 'Defense Department', 'Mattis, James N', 'Douma (Syria)', 'Biological and Chemical Warfare', 'Assad, Bashar al-', 'Civilian Casualties']",67,Washington,1,2018-04-12 11:03:16,Politics,Defense Secretary Jim Mattis demanded evidence of the Syrian government’s role in a suspected chemical attack to justify military action — and mute Russian criticism.,The New York Times,News,https://www.nytimes.com/2018/04/12/us/politics/trump-syria-attack.html
5acf2ea0068401528a2a7e34,1145,By ANAHAD O'CONNOR,article,A Better Body in a Pill? Experts Urge Caution on SARMs,"['Doping (Sports)', 'Steroids', 'Testosterone', 'Drug Abuse and Traffic', 'Drugs (Pharmaceuticals)', 'Muscles', 'Prostate Gland', 'Heart', 'Cholesterol', 'Liver']",68,Well,0,2018-04-12 10:02:06,Move,"Bodybuilders are turning to a popular new pill to get bigger and stronger, but the chemicals are still undergoing testing and could cause serious harm.",The New York Times,News,https://www.nytimes.com/2018/04/12/well/move/sarms-muscle-body-building-weight-lifting-pill-supplements-safety.html
5acf2e27068401528a2a7e2f,1197,By ALEXANDRA S. LEVINE,article,Unknown,['New York City'],68,Metro,0,2018-04-12 10:00:05,Unknown,"Thursday: Reflections on Holocaust Remembrance Day, “After Auschwitz” and Franklin D. Roosevelt’s local legacy.",The New York Times,briefing,https://www.nytimes.com/2018/04/12/nyregion/new-york-today-lasting-lessons-from-the-holocaust.html
5acf2aa3068401528a2a7e12,813,By CHARLES M. BLOW,article,Signs of a Political Armageddon,"['Russian Interference in 2016 US Elections and Ties to Trump Associates', 'United States Politics and Government', 'Suits and Litigation (Civil)', 'Cohen, Michael D (1966- )', 'Mueller, Robert S III', 'Trump, Donald J']",68,OpEd,0,2018-04-12 09:45:04,Unknown,Robert Mueller is not safe. Our democracy is not safe.,The New York Times,Op-Ed,https://www.nytimes.com/2018/04/12/opinion/trump-mueller-secrets.html
